y=931, x=455..475
x=566, y=770..774
x=561, y=684..694
y=1576, x=490..493
x=409, y=998..1013
y=817, x=514..518
x=460, y=1195..1197
x=397, y=1843..1853
y=1487, x=561..563
x=504, y=1743..1757
y=351, x=527..535
x=484, y=1662..1674
x=502, y=276..286
x=439, y=1439..1461
y=412, x=402..419
x=428, y=221..223
x=423, y=1296..1307
y=1977, x=571..576
x=359, y=970..996
y=895, x=472..500
x=349, y=350..374
y=1772, x=405..407
y=177, x=386..392
y=690, x=551..553
y=1540, x=381..433
x=411, y=1747..1757
x=442, y=802..822
x=453, y=1210..1223
x=427, y=1182..1188
x=484, y=350..376
x=502, y=2010..2018
y=1161, x=434..440
y=972, x=468..486
x=443, y=1633..1647
x=440, y=2006..2020
x=573, y=1610..1627
x=453, y=1189..1200
y=126, x=396..410
x=467, y=1280..1302
x=519, y=150..162
x=573, y=1987..2010
y=1779, x=449..465
x=513, y=360..371
x=483, y=682..684
x=509, y=968..986
y=1931, x=423..447
y=1106, x=357..377
x=468, y=959..972
y=552, x=440..464
x=477, y=780..784
x=578, y=1779..1782
x=398, y=1356..1369
x=461, y=1170..1179
x=553, y=1587..1590
x=543, y=1102..1127
x=486, y=833..837
x=489, y=134..159
x=416, y=1592..1604
y=1122, x=461..477
x=444, y=1122..1124
x=459, y=432..446
x=461, y=320..324
x=404, y=336..340
x=569, y=1773..1786
x=377, y=1977..1987
x=427, y=751..765
x=456, y=816..818
x=382, y=740..765
x=373, y=249..260
y=27, x=427..447
x=522, y=1505..1515
y=1593, x=547..569
x=455, y=1810..1813
y=665, x=357..377
y=1285, x=436..453
y=127, x=365..367
x=515, y=342..352
x=447, y=1913..1931
x=505, y=508..521
y=483, x=415..421
x=532, y=1426..1427
x=539, y=1379..1387
y=1179, x=461..492
x=475, y=28..41
x=531, y=700..710
y=1347, x=385..387
y=467, x=376..380
x=377, y=19..23
y=352, x=512..515
y=1776, x=455..459
y=491, x=354..378
x=380, y=1205..1221
x=481, y=978..991
x=382, y=1866..1878
x=525, y=1340..1349
y=1515, x=498..522
y=306, x=349..371
x=365, y=402..421
y=1142, x=375..386
x=455, y=1773..1776
x=441, y=133..136
x=466, y=1153..1156
y=540, x=522..527
y=1474, x=412..428
y=1604, x=416..435
x=510, y=385..391
x=410, y=121..126
y=421, x=365..380
x=466, y=1341..1344
y=198, x=375..377
x=527, y=340..351
x=562, y=979..986
x=381, y=1715..1717
x=571, y=337..340
y=1011, x=482..484
x=550, y=1510..1533
x=509, y=153..166
x=530, y=357..366
x=402, y=853..860
x=588, y=1421..1446
y=446, x=452..459
x=399, y=645..652
x=541, y=476..481
x=539, y=1717..1723
x=513, y=97..100
x=391, y=1175..1178
x=360, y=1427..1445
y=1363, x=407..416
x=448, y=1150..1160
x=380, y=1376..1389
x=392, y=158..177
x=463, y=1089..1101
x=369, y=186..207
y=1242, x=460..462
x=538, y=1890..1902
x=454, y=1792..1794
x=480, y=860..872
y=1406, x=511..522
x=554, y=599..609
x=539, y=243..255
x=378, y=377..382
y=1533, x=533..550
y=1949, x=374..400
y=333, x=500..520
y=1902, x=389..407
y=475, x=494..497
x=445, y=1694..1703
x=512, y=1748..1752
x=574, y=1433..1452
y=737, x=489..497
x=517, y=150..162
x=473, y=1004..1015
y=2029, x=347..367
x=403, y=257..262
y=905, x=454..462
x=407, y=307..317
x=497, y=70..82
x=570, y=1418..1430
x=351, y=1298..1320
y=590, x=509..537
y=1764, x=549..568
x=404, y=1807..1819
y=169, x=424..426
x=382, y=1150..1162
y=294, x=354..358
x=518, y=1251..1267
x=464, y=1253..1272
x=509, y=1748..1752
x=540, y=536..543
y=883, x=486..494
y=1577, x=447..449
x=486, y=75..81
x=384, y=1097..1113
x=454, y=899..905
y=327, x=509..512
x=363, y=1823..1850
x=517, y=875..877
y=1777, x=527..540
x=529, y=1473..1490
y=781, x=537..554
x=492, y=1194..1196
x=411, y=362..367
y=218, x=578..583
x=503, y=493..495
y=1587, x=405..407
x=485, y=705..715
y=1215, x=439..444
y=779, x=506..520
x=485, y=275..286
y=187, x=499..515
x=567, y=597..603
x=561, y=865..872
x=354, y=1356..1358
x=565, y=237..239
y=1367, x=462..486
y=1488, x=485..490
